datum,M01AB,next_month_sale,,,,,,
31/01/14,127.69,133.32,,,,,,
28/02/14,133.32,137.44,,,,,,
31/03/14,137.44,113.1,,,,,,
30/04/14,113.1,101.79,,,,,,
31/05/14,101.79,112.07,,,,,,
30/06/14,112.07,117.06,,,,,,
31/07/14,117.06,134.79,,,,,,
31/08/14,134.79,108.78,,,,,,
30/09/14,108.78,154.75,,,,,,
31/10/14,154.75,138.08,,,,,,
30/11/14,138.08,131.9,,,,,,
31/12/14,131.9,135.91,,,,,,
31/01/15,135.91,115.71,,,,,,
28/02/15,115.71,156.04,,,,,,
31/03/15,156.04,154.5,,,,,,
30/04/15,154.5,160.02,,,,,,
31/05/15,160.02,151.87,,,,,,
30/06/15,151.87,175.61,,,,,,
31/07/15,175.61,181.69,,,,,,
31/08/15,181.69,166.22,,,,,,
30/09/15,166.22,195.81,,,,,,
31/10/15,195.81,152.78,,,,,,
30/11/15,152.78,159.46,,,,,,
31/12/15,159.46,171.65,,,,,,
31/01/16,171.65,173.81,,,,,,
29/02/16,173.81,156.64,,,,,,
31/03/16,156.64,166.61,,,,,,
30/04/16,166.61,167.36,,,,,,
31/05/16,167.36,169.67,,,,,,
30/06/16,169.67,203.97,,,,,,
31/07/16,203.97,211.13,,,,,,
31/08/16,211.13,172.96,,,,,,
30/09/16,172.96,186.76,,,,,,
31/10/16,186.76,175.18,,,,,,
30/11/16,175.18,169.32,,,,,,
31/12/16,169.32,0,,,,,,
31/01/17,0,139.69,,,,,,
28/02/17,139.69,162.85,,,,,,
31/03/17,162.85,155.61,,,,,,
30/04/17,155.61,143.66,,,,,,
31/05/17,143.66,122.33,,,,,,
30/06/17,122.33,159.67,,,,,,
31/07/17,159.67,170.15,,,,,,
31/08/17,170.15,138.33,,,,,,
30/09/17,138.33,137.64,,,,,,
31/10/17,137.64,163.85,,,,,,
30/11/17,163.85,160.01,,,,,,
31/12/17,160.01,132.28,,,,,,
31/01/18,132.28,128.36,,,,,,
28/02/18,128.36,146.16,,,,,,
31/03/18,146.16,170.02,,,,,,
30/04/18,170.02,160.52,,,,,,
31/05/18,160.52,141.18,,,,,,
30/06/18,141.18,150.18,,,,,,
31/07/18,150.18,140,,,,,,
31/08/18,140,153.52,,,,,,
30/09/18,153.52,144.71,,,,,,
31/10/18,144.71,172.29,,,,,,
30/11/18,172.29,147.71,,,,,,
31/12/18,147.71,179.7,,,,,,
31/01/19,179.7,133.73,,,,,,
28/02/19,133.73,154.52,,,,,,
31/03/19,154.52,161.39,,,,,,
30/04/19,161.39,168.04,,,,,,
31/05/19,168.04,151.54,,,,,,
30/06/19,151.54,181,,,,,,
31/07/19,181,181.91,,,,,,
31/08/19,181.91,161.07,,,,,,
30/09/19,161.07,44.37,,,,,,
31/10/19,44.37,0,,,,,,
